first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
Tina Shagufta Munir,Kornmo,V,,"Styreleder ALMA Culture Center, ikke lønnet.
Nestleder i Rådet for Senter for Menneskerettigheter- UiO, ikke
lønnet.
Styremedlem Make-A.Wish Norge, ikke lønnet.
Styremedlem Laila & Amars Model School, ikke lønnet.
Styremedlem Anette Thommessens Minnefond, ikke lønnet.
Medlem av to tilsynsutvalg i Frogner bydel, lønnet.",,"Seksjonsoverlege Urologisk seksjon, kirurgisk avd, Bærum Sykehus,
VVHF","Fast lønn fra Bærum Sykehus erstattes av godtgjørelse på Stortinget.
Det er søkt om å få beholde personlig tillegg i møteperioden på
Stortinget for å unngå nedgang i lønn.",,,,,,,,,
Per Sverre,Kvinlaug,KrF,,"Ordfører Kvinesdal kommune (lønnet)
Kvinesdal kommunebygg AS, styreleder (godtgjørelse)
Lister kompetanse AS, styreleder (ulønnet)
Lister næringspark SA, styreleder (ulønnet)
Innovasjon Kvinesdal SA, nestleder (ulønnet)","Sanden Media, prosjektleder (har permisjon fra denne)",,,,,,,,,,,
Rita,Lekang,A,,,,Fast ansatt i LO,,,,,,,,,,
Geir Inge,Lien,Sp,,"Ordførar i Vestnes kommune (godtgjersle)
Styreleiar Eksportvegen AS (godtgjersle)
Styremedlem Tremek AS (møtegodtgjersle)
Fylkesstyremedlem KS (godtgjersle)
Medlem ROR (Romsdal regionråd) (inga godtgjersle)
Varamedlem Sunnmøre regionråd (inga godtgjersle)",,Sjå punkt 2,,,,,,,,,,
Ingelinn,Lossius-Skeie,Uav,,Medlem av Lillesand bystyre og formannskap (noe lønnet),,Lærer ved Lillesand voksenopplæring 50 %,,,,,,,,,,
Bjørnar,Laabak,FrP,,"Bystyremedlem Fredrikstad kommune, møtegodtgjørelse.
Formannskapsmedlem Fredrikstad kommune, fast godtgjørelse.
Styremedlem Ytre Hvaler nasjonalpark, møtegodtgjørelse.
Styremedlem Unikom AS, Fredrikstad, styrehonorar.
Gruppeleder for FrP i Fredrikstad kommune, lønnet (70%).
Fast godtgjørelse formannskapet og lønn gruppeleder utbetales ikke
for perioden 1/3–30/5 2020",,,,,,,,,,,,
Linda Monsen,Merkesdal,A,,"Godtgjørelse ved oppmøte (gjelder for alle verv nedenfor her):
Kommunestyret i Voss Kommune 2015-2019.
Miljø og kulturutvalget Voss kommune 2015-2019.
Kasserer i Voss Arbeiderparti.
Leder i styret stiftelsen Myrkdalen Aktivitets og treningssenter.
Medlem prestegardsmofondet.
Vara Indre Hordaland miljøverk.",,Avdelingsleder NAV Voss - Voss Kommune,"I denne vara perioden har jeg tatt ut 1,5 feriedager fra arbeidsgiver",,,,,,,,,
Helge Robert,Midtbø,A,,"Bystyret og Formannskapet i Førde kommune - Lønnet
Ankerløkken Eigedom AS - Styremedlem - Lønnet
Henden Elektro AS - Styrets leiar - Lønnet
Sfære AS - Styremedlem - Lønnet
Fjordvekst AS - Styremedlem - Lønnet",HAH-Holding AS - Daglig leiar og styreleiar - ikkje lønna,,,,,,"HAH Holding AS. Investering i eigedom, selskaper og annet.",,,,,
Nisrin,Morabit,SV,,,,Lønnet stilling i Trondheim Kommune som helsefagarbeider.,,,,,,,,,,
Hans Inge,Myrvold,Sp,,"Styremedlem Fjelbergsambandet AS (ulønnet)
Styremedlem Kvinnherad Vekstbedrift AS (ulønnet)
Styreleder Supplèr AS (ulønnet)",,Ordførar Kvinnherad kommune (permisjon),"I permisjon fra stilling som ordfører i Kvinnherad kommune, i den tid
ein møter som stortingsrepresentant.",,,,Supplèr AS 100 % av aksjer,,,,,
Steinar,Ness,Sp,,,"Sjølvstendig næringsdrivande, sauebonde frå 2000.
Sjølvstendig næringsdrivande, rådgjeving frå 2006.
Inntekter frå KS og Fagforbundet har overstige kr 50.000 siste åra.",Engasjement Senterpartiets stortingsgruppe - siste år 2016.,,,,"Gardsbruk i Gaular kommune i Sogn og Fjordane - Gnr 38 Øen, bnr 1.","Viksdalen Butikkbygg AS - 3 aksjar.
Det Norske Teater      - 1 aksje.
Klassekampen         - 1 aksje.",,,,,
Christine,Nilssen,H,,"Varaordfører i Vardø kommune - lønnet verv.
Medlem i formannskapet i Vardø kommune - lønnet verv.
Medlem i bystyret i Vardø kommune - lønnet verv.
Leder av administrasjonsutvalget i Vardø kommune - lønnet verv.
Medlem av representantskapet i Varanger museum IKS - ulønnet verv.
Varamedlem til representantskapet i Varanger Kraft - ulønnet verv.
Varamedlem til representantskapet i ØFAS AS - ulønnet verv.
Varamedlem til representantskapet i Øst-Finnmark regionråd - ulønnet
verv.",,"Forvaltningsjurist i Finnmark politidistrikt - 100 % ansatt i fast
stilling.","Finnmark politidistrikt - rett til fravær med lønn i medhold av HTA §
40 i perioden 27.01.20-31.01.20.",,,,,,,,,
Jorid Juliussen,Nordmelan,A,,Nestleder Norsk frimerkeungdom (ulønnet),,"Rådgiver i Arbeiderpartiets stortingsgruppe
Tidligere rådgiver i First House (i perioden 1.2-2019 til 8.11-2019).
Kunder i denne perioden: Arkwright X, Avfall Norge, Bauer Media,
Bygg21 (Direktoratet for byggkvalitet), Den norske tannlegeforening,
Den norske veterinærforening, Eide Fjordbruk AS,
Elevorganisasjonen, Espira Gruppen AS, Harald A. Møller AS,
Høyskolen Kristiania, IBM Norge, Lederne, Nelfo, Norges
Optikerforbund, Norsk kjeveortopedisk forening, Norsk takst, REMA
1000 AS, RSM Norge, Siemens AS, Sjømat Norge, Skanska AB og
Visolit AS.",,,,,,,,,,
Rowena von,Ohle,FrP,,"Kommunestyremedlem, Spydeberg kommune, godtgjørelse.
Utvalgsleder i Spydeberg kommune for Næring, helse, oppvekst og
kultur, godtgjørelse.
Styremedlem Fellesnemda, Indre Østfold kommune, godtgjørelse.
Styremedlem Vollene Legat, ikke godtgjørelse .
Styremedlem Østfold FrP, ikke godtgjørelse.",,"Regnskapskonulent, Ski Konsulentbyrå AS",,,,,,,,,,
Dagfinn Henrik,Olsen,FrP,,"Styreleder Losen Eiendomsdrift A/S (ikke godtgjørelse)
Gruppeleder FrPs fylkestingsgruppe Nordland fylkeskommune
(godtgjørelse)",,"Statslos, Kystverket (100 pst. stilling)",,,,"To eiendommer i Lødingen kommune som benyttes til
utleievirksomhet i Losen Eiendomsdrift A/S",50 pst. av aksjene i Losen Eiendomsdrift A/S,,,,,
Stine Margrethe Knutsdatter,Olsen,FrP,,"Fylkestingsrepresentant, Telemark. Godtgjøring
Hovedutvalgsmedlem, Telemark. Godtgjøring",,,"Har permisjon fra ansettelse i Fremskrittspartiets hovedorganisasjon i
tiden som møtende vararepresentant, inntil utløpet av inneværende
valgperiode på Stortinget. Permisjonen er ulønnet.",,,,,,,,,
Kari-Anne,Opsal,A,,"Harstad kommune, gruppeleder Arbeiderpartiet (honorar).
Troms fylkesting, gruppeleder Arbeiderpartiet (honorar).
Grottebadet AS, styreleder (honorar).
Norsk Bridgeforbund, president (honorar).
Member of executive comitee, European Bridge League - kun
utgiftsdekning
Member of executive comitee, World Bridge Federation -kun
ugifsdekning",,,,,,,,"Møter som president i Norsk Bridgeforbund på Europeiske møter 2-3
ganger per år. Reiseutgifter dekkes av Norsk Bridgeforbund.
Møter i executive comitee European Bridge League og World Bridge
Federation 4-6 ganger pr. år. utgiftene dekkes av de. Reisene har ikke
tilknytning til min virksomhet som Stortingsrepresentant.",,,,
Laila,Reiertsen,FrP,,"Kommunestyrerepresentant i Os kommune (godtgjørelse)
Medlem i formannskapet i Os kommune (godtgjørelse)
Os Turn Nestleder(ulønnet)
Os FrP Nestleder","Enkeltmannsforetaket ""NokTid"" (utleie som sykepleier). For tiden
ikke i drift.",,"Permisjon uten lønn fra stilling som HR- leder ved Ravneberghaugen
rehabiliteringssenter",,,,,,,,,
Anders,Riise,H,,"Ordførar i Hareid kommune, godtgjersle.
Fylkestinget i M&R, godtgjersle.
Leiar kontrollutvalet i M&R, godtgjersle.
Styreleiar i KS M&R, godtgjersle.
Styreleiar og dagleg leiar i Aktiv Omsorg AS, Ambu Eigedom AS og
Olebuda Eigedom AS. Alle utan honorar.
Styremedlem i Ambulanseforum, honorar.
Hareid Trafikkterminal, honorar.
Hareid Fastlandssamband, ingen honorar.
Hareid Høgre. Ingen honorar.
Nestleiar i styret Søre Sunnmøre landbrukskontor, styrehonorar.",,Ordførar Hareid kommune.,Permisjon utan løn frå Helse Møre & Romsdal,Permisjon utan løn frå Helse Møre & Romsdal,,,"Ambu Eigedom AS 50 %
Aktiv Omsorg AS 50 %
Olebuda Eigedom AS 100 %",,,,,
Bjarne,Rohde,SV,,"Fylkesleiar, Troms SV, ulønna,
Landsstyrerepresentant, SV, ulønna",,"Rådgjevar, Parat",,,,,,,,,,
Naomi Ichihara,Røkkum,V,,"Styremedlem i Syklistenes landsforening Oslo (ulønnet).
Redaksjonsrådsmedlem i miljømagasinet Pan (ulønnet).",,Fagsjef næringspolitikk og kommunikasjon i Norsk Eiendom.,,,,,,,,,,
Kari-Lise,Rørvik,V,,Leder Larvik Venstre. Ikke lønnet,,,,,,,"ReNatur AS, eierandel 49%",,,,,
Eirik Faret,Sakariassen,SV,,"• Leder, Lyntogforum Rogaland, 2020-d.d. (Ikke godtgjørelse)
• Styreleder, Sølvberget bibliotek og kulturhus KF, 2020-d.d.
(Godtgjørelse).
• Leder, Studentrådet i Stavanger kommune, 2020-d.d. (Godtgjørelse).
• Styremedlem, Johannes Læringssenter, 2019-d.d (Ikke godtgjørelse).
• Leder, Utvalg for oppvekst og utdanning i Stavanger kommune,
2019-d.d. (Godtgjørelse).
• Delegat, KS’ fylkesmøte, 2019-d.d. (Ikke godtgjørelse).
• 3. vara, Utvalg for helse og velferd i Stavanger kommune, 2019-d.d.
(Godtgjørelse).
• 3. vara, Utvalg for arbeidsliv og lønn i Stavanger kommune, 2019-
d.d. (Godtgjørelse).
• Kommunestyrerepresentant, Stavanger kommune, 2019-d.d.
(Godtgjørelse).
• Medlem, komiteen for Årets frivillige i Stavanger kommune, 2019-
d.d. (Ikke godtgjørelse).
• Medlem, Valgstyret i Stavanger kommune, 2015-d.d. (Godtgjørelse).
• Medlem, Stavanger formannskap, 2015-d.d. (Godtgjørelse).
• Gruppeleder, SVs kommunestyregruppe i Stavanger, 2015-d.d.
(Godtgjørelse).
• Nestleder, Kreftomsorg Rogaland, 2014-d.d. (Godtgjørelse).",,,,,,,,,,,,
Bersvend,Salbu,SV,,Styremedlem i Greenfield DC Sites AS (ulønnet),Enkeltmannsforetak/gardbruker,,,,,,,,,,,
Lill Harriet,Sandaune,FrP,,"Varamedlem Malvik Næringsutvikling (godtgjørelse v. oppmøte)
Varamedlem til styret for Vikhammer Jern og Farve A/S (godtgjørelse
v. oppmøte)",Medeier Vikhammer Jern og Farve A/S,Adjunkt v. Skjetlein vgs.,,,,,50 pst. aksjeandel i Vikhammer Jern og Farve A/S,,,,,
Leif Audun,Sande,A,,,,pensjonist,Gavepensjon,,,,Et fåtall aksjer i Klassekampen AS og Dag og Tid AS.,,,,,
Per Martin,Sandtrøen,Sp,,"Representant i Hedmark fylkesting
Nestleder Hedmark Senterparti
Permisjon fra vervet som representant i Tynset kommunestyre",Per Sandtrøen Skikurs (ENK) (Ingen aktivitet),Politisk rådgiver for Senterpartiets stortingsgruppe,,,,,,,,,,
Anne,Sandum,A,,"Medlem av fylkesting, fylkesutvalg og hovedutvalg for samferdsel,
administrasjonsutvalg og forhandlingsutvalg i Buskerud
fylkeskommune (godtgjørelse)
Leder i Ringerike Arbeiderparti (godtgjørelse)
Styremedlem i Vegfinans E 134 Buskerud AS (godtgjørelse)
Styremedlem i Vegfinans Hallingporten AS (godtgjørelse)
Verv med møtegodtgjørelse:
Medlem av fylkets trafikksikkerhetsutvalg i Buskerud
Nestleder i KS-Buskerud
Konst. nestleder i Rovviltnemda i region 2
Medlem av Østlandssamarbeidets utvalg for samferdsel
Medlem av ATM-rådet for Buskerudbyen
Politisk regionkontakt til regionrådet for Hallingdal og til region
Vestviken
Varamedlem til kommunestyret og viltnemda i
i Ringerike kommune",,Se punkt 2,,,,,,,,,,
Emilie,Schäffer,H,,"Grenland Familiekontor, styreleder, lønnet
City Bygg, styreleder, lønnet
Skien Næringsfond, styremedlem, lønnet",,"NAV Porsgrunn, sosialkurator, 100% stilling",,,,,,,,,,
Arve,Sigmundstad,A,,"Medlem av Halden kommunestyre og formannskapet
Medlem av hovedutvalg for plan, teknisk, landbruk og miljø
Medlem av hovedutvalg for helse, omsorg og sosialetjenester
Medlem av Havnestyret
Det utbetales honorarer for møter i disse organene.",,Seniorrådgiver i arbeidstakerorganisasjonen Parat,,,,,,,,,,
Atle,Simonsen,FrP,,Styreleder - Stavanger Parkering - Vervet er honorert,,,,,,,,,,,,
Gaute Børstad,Skjervø,A,,,,Fylkestingsrepresentant Trøndelag Ap - lønnet 20%,,,,,,,,,,
Knut Tønnes,Steenersen,FrP,,"Styremedlem TV8 Oslo og Akershus - ikke lønnet
Styremedlem Radio FM AS - ikke lønnet
Styreleder Kurer Media LTD - delvis lønnet
Kommunestyrerepresentant Ski kommune - honorar","Jærradiogruppen AS, konsulent gjennom Kurer Media LTD
TV8 Oslo og Akershus, konsulent gjennom Kurer Media LTD",Salgssjef 21st Venture AS,,,,,"Eierskap i Radio FM AS
Eierskap i Kurer Media LTD",,,,,
Per Espen,Stoknes,MDG,,"Styremedlem Sensonomic as (ulønnet)
Styremedlem NIKUT - Norsk Institutt for Kunstuttrykk &
Kommunikasjon (mottar lavt honorar)
Styremedlem Stiftelsen Tvergastein Arne Næss Hytte (Ulønnet)
Styreleder Tanksemia Pan (Ulønnet)","Innehaver av Stoknes Futures AS, lite aktivitet i perioden for møtende
vara-representant (des17-jun18)","Forsker, 20%, Handelshøyskolen BI, Senter for Grønn Vekst. Delvis
permisjon fra stillingen i perioden des17-jun2018","Forsker, 20%, Handelshøyskolen BI, Senter for Grønn Vekst. Delvis
permisjon fra stillingen i perioden des17-jun2018. Underviser noen
enkeltstående timer / dager i fag hvor BI ikke har tilsvarende
kompetanse. Viderefører på svært lavt aktivitetsnivå overordnet
prosjektleder ansvar for 2 arbeidspakker i NFR-finansierte prosjekter,
hvor aktivitet skjer via vit-ass.",,,"Skrivestue, Kongsberg. Eid via næringsvirksomhet (Stoknes Futures
AS)","Stoknes Futures AS (95%), som er et holdingsselskap, som igjen eier:
14% av Sensonomic AS
43% av BiogassMøre AS
Biovotec AS (mindre enn 10%)",,,,,
Per-Gunnar,Sveen,A,,"Styremedlem i Vegfinans RV3/25 as (honorar).
Styremedlem i Vegfinans E16 Kongsvingerveien (honorar).",,Fylkesrådsleder i Hedmark fylkeskommune,,,,,Har 6 000 (seks tusen) egenkapitalbevis i Sparebank1 Østlandet.,,,,,
Tone Merete,Sønsterud,A,,,,,"Ulønnet permisjon fra Statistisk Sentralbyrå og LO Stat. Beholder et
billån i LO Stat.",,,,,,,,,
Arne,Thomassen,H,,"Styreleder i SAAC Holding, ikke lønn.
Styreleder i Lillesand Næringsarealer, lønnet.
Styremedlem i LKS Agder, styregodtgjørelse pr møte.
Styremedlem i Sekkebekksletta 2 AS, ikke lønn.
Styremedlem i Skolegata 2 AS , ikke lønn.
Styremedlem i Rørhus AS, ikke lønn.
Styremedlem i Bjørlykke AS, ikke lønn.",,,,Er Ordfører i Lillesand kommune frem til oktober 2019,,En leilighet i Skuggevik i Lillesand,,,,,,
Hanne,Thürmer,KrF,,"Leder Norsk indremedisinsk forening, godtgjørelse
Styremedlem Diakonhjemmet sykehus, godtgjørelse
Folkevalgt Notodden kommune, leder hovedutvalg helse/sosial,
medlem formannskap, godtgjørelse",,"Fast ansatt overlege ved Sykehuset Telemark, Notodden sykehus",,,,,,,,,,
Niclas,Tokerud,A,,"Medlem av Øvre Eiker kommunestyre (fast godtgjørelse)
Medlem av Buskerud fylkesting (fast godtgjørelse)
Varamedlem Distriktsprogramrådet for NRK Østafjells
(møtegodtgjørelse)
Varamedlem Kongsberg PPTOT (møtegodtgjørelse)",,Resepsjonist Bislet Bad & Trening,,,,,,,,,,
Kristian,Torve,A,,"Fylkestingsrepresentant 2015-2019. Møtegodtgjørelse.
Styremedlem Vitensenteret i Trondheim. Møtegodtgjørelse.",,Deltidsjobb i dagligvarehandel i tillegg til studier.,,,,,,,,,,
Tove-Lise,Torve,A,,"Medlem Møre og Romsdal fylkesting, lønnet
Medlem fylkesutvalget, Møre og Romsdal fylkeskommune, lønnet
Styreleder Trollheim AS, lønnet
Styremedlem Svorka Energi AS, lønnet
Medlem representantskapet Sparebank 1 SMN, lønnet
Leder Distriktsprogramrådet NRK Møre og Romsdal, lønnet
Leder Sunndal Arbeiderparti",,,,,,,,,,,,
Elin,Tvete,Sp,,"Leder av Opplæringskomiteen i Østfold fylkeskommune, frikjøpt
70%stilling, øvrige fylkeskommunale verv utover dette godtgjøres
ikke.
Medlem i fylkestinget i Østfold fylkeskommune.
Medlem i Yrkesopplæringsnemda i Østfold fylkeskommune.
Bystyremedlem i Fredrikstad kommune, møtegodtgjøring.
Medlem i planutvalget i Fredrikstad kommune, møtegodtgjøring",,"Leder av Opplæringskomiteen i Østfold fylkeskommune, frikjøpt
70%stilling","Har permisjon fra lærerstilling i Fredrikstad kommune, er frikjøpt til
folkevalgte verv i Østfold fylkeskommune",,,"enebolig, eneeie, Fredrikstad kommune",,,,,,
Olav,Urbø,Sp,,"Åmdalsverk Daglegvare AS, styreleiar
Medlem av Telemark fylkesting
Medlem av Tokke kommunestyre",,,,,,,"Åmdalsverk Daglegvare AS, Eierandel: 4,1 %
Aker ASA
ATEA ASA
Incus Investor ASA
Norsk Hydro ASA
Norske skogindustrier ASA
Orkla ASA
REC Silicon ASA
Telenor ASA
YARA International ASA
Eierandel alle: mindre enn 1 %",,,,,
Hans Kristian,Voldstad,V,,"Styremedlem Bane NOR Eiendom a.s - lønnet
Styremedlem Schage Eiendom a.s - lønnet
Styreleder BSA Berlin a.s - lønnet
Styreleder Voldstad Eiendom a.s - ulønnet","Niklasberg AB
Restad Gård AB
Frida Fastigheter AB
Heliaca AB
Dette er datterselskap i eget konsern. Samlet fakturering sek 1.000.000
/år",,,,,"Ingen eiendommer i Norge. Voldstad Eiendom a.s ( 100 % eiet ) har
eierskap i eiendommer i Sverige og Tyskland ( Berlin ).","I Norge:
Voldstad Eiendom a.s - 100 %
BSA Berlin a.s - 16 % ( via Voldstad Eiendom a.s )
Div. fond med aktiv forvaltning i Nordea, Industrifinans, Storm og
Zenith",,,,,
Inger Helene,Vaaten,A,,"Styremedlem Fagskolen Oslo og Akershus (godtgjørelse).
Styremedlem Oslo Arbeiderparti (ikke godtgjørelse)",,Informasjonsrådgiver i Handel og Kontor Norge,,,,,,,,,,
Eli,Wathne,H,,"Kil toppfotball: styremedlem - ikke lønnet verv, mottar sesongkort til
hjemmekamper som godtgjørelse
Kongsvinger kommune: gruppeleder, formannskapsmedlem og
kommunestyrerepresentant. Gruppeleder honoreres 4% av
Stortingslønn, formannskapsmedlem 10% av Stortingslønn samt
møtegodtgjørelse for hvert møte.
Regionrådet i Kongsvinger: representant: møtegodtgjørelse.
Hedmark fylkeskommune: fylkestingsrepresentant, 5% samt
møtegodtgjørelse/tapt arbeidsfortjeneste.
Rovviltnemnd region 5 (sekretariat er Fylkesmannen i Hedmark)
møtegodtgjørelse
Østlandssamarbeidet, medlem i fagpolitisk utvalg kompetanse:
møtegodtgjørelse",,Topos arkitektur og design as: senior rådgiver,,,,,"Marecura AS. Eierandel: 3,46 %",,,,,
Kristian P.,Wilsgård,FrP,,"Vara til Kontrollutvalget i Tromsø kommune - Godtgjørelse
994185349 SENJA HAVBRUKSSERVICE AS - Varamedlem",889339632 NORWEB Kristian Paulsen Wilsgård ENK Innehaver,,,,,,"889339632 NORWEB Kristian Paulsen Wilsgård ENK - Innehaver
994185349 SENJA HAVBRUKSSERVICE AS - Varamedlem",,,,,
Julia,Wong,A,,"Varamedlem til styret i Sandnes havn, ikke lønnet verv med unntak av
oppmøte. Møtt en gang i 2015.",,,,,,,,,,,,
Johan,Aas,FrP,,Styreleder Gamle Bæreiavegen boligsameie (lønnet),,,,,,,,,,,,
