rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Ingen registrerte opplysninger
152,Sivert,Bjørnstad,FrP,,"Styreleder, Singsaker Studenterhjem. Ikke lønnet.
Varamedlem, Karl-Ove Bjørnstad Eiendom AS. Ikke
lønnet.","Innehaver, Bjørnstad Kurs og Kompetanse.",,,,,,,,,
131,Christian Tynning,Bjørnø,A,True,,,,,,,,,,,
113,Olaug V.,Bollestad,KrF,,"Styremedlem i Watoto, ulønnet.
Styremedlem i Brannvesenet Sør- Rogaland, lønnet.",,,Ulønnet permisjon fra Stavanger Universitetssykehus.,,,,,,,
66,Else-May,Botten,A,,Styremedlem i Actis (møtegodtgjørelse) fra januar 2013,,,4 års permisjon fra LO,,,,,"25.03.-27.03.2011 Reise Oslo/Spania betalt av Østensjø
Rederi AS i forbindelse med skipsdåp","Øredobber og smykke fra Hijos De J. Barreras, S.A,
gudmorgave ved skipsdåp 26.3.2011",
59,Terje,Breivik,V,True,,,,,,,,,,,
116,Tina,Bru,H,True,,,,,,,,,,,
103,Jan,Bøhler,A,True,,,,,,,,,,,
53,Jette F.,Christensen,A,,,,,"Permittert fra stilling som administrasjonsmedarbeider
(50%) i Norsk Forfattersentrum",,,,,,,
31,Lise,Christoffersen,A,,"Styremedlem Strømsgodset Toppfotball (ulønnet)
Styremedlem Buskerud Idrettskrets (ulønnet)
Styremedlem i Stiftelsen Guts (ulønnet)
Rådsmedlem i SOS-barnebyer (ulønnet)",,,"Permisjon uten lønn: Asplan Viak AS, Sandvika",,,,,,"Mottatt en flaske av Drammen kommunes jubileumscognac 2011 som medlem av jury for å bestemme dens navn.
Cognac og navnekonkurranse et samarbeid mellom Larsen Cognac, Trond B. Olsen, Byavisa Drammen og Radio Metro.",
1,Freddy,de Ruiter,A,True,,,,,,,,,,,
78,Margunn,Ebbesen,H,,Narvik Havn KF. Vervet er lønnet med en årlig godtgjørelse.,,,,,,,,,,
71,Rigmor Andersen,Eide,KrF,,Nestleder i styret til Stiftelsen Amathea (honorar),,,,,,,,,,
54,Torill,Eidsheim,H,,"Modalen Næringsbygg - lønnet med styrehonorar,
Sunnhordland lufthamn - permisjon,
Voss og omland bompengeselskap as - permisjon,
Norvegfinans - permisjon",Skram media,,,,,,Skram Media as,,,
24,Gunvor,Eldegard,A,,Styremedlem og nestleiar i driftsstyret ved Etterstad videregående skole,,,,,,,,,,
80,Jan Arild,Ellingsen,FrP,,"Styreleder Salten kontrollutvalgsservice (godtgjørelse)
Medlem kommunestyret i Saltdal kommune (møtegodtgjørelse)
Leder av kontrollutvalget i Saltdal kommune ( godtgjørelse)",,,,,,,,,,
26,Hårek,Elvenes,H,,"Medlem Bærum kommunestyre- verv- godtgjørelse.
Medlem Samarbeidutvalget Bærum kommune- ledergodtgjørelse.","Enkeltmannsforetak: Hårek Elvenes Bedriftsrådgivning.
Sovende selskap. Ingen aktivitet og inntekter siden 2007.",,"Permisjon uten lønn fra Forsvarsbygg. Boliglån i Statens
pensjonskasse.",,,,Aksjer i Norsk Hydro.,,,
106,Ola,Elvestuen,V,,Første nestleder i Venstre (godtgjørelse),,,,,,,,,,
73,Pål,Farstad,V,,"Nordmøre Næringsråd, styremedlem/nestleder, lønnet
Kristiansund og Nordmøre Havn IKS, 1. vara til styret,
møtegodtgjørelse",,,"Permisjon fra min stilling som senior bedriftsrådgiver i
Triangel Consulting AS. Permisjon med virkning f.o.m.
01.10.2013. Pensjonsavtaler m.v. skal være avsluttet.",,,,,,,
154,Svein,Flåtten,H,,"Styreleder Sveisemekanikk AS (ulønnet)
Styremedlem Sandvik/Kaldnes AS (ulønnet)
Styreleder Solnes Eiendom AS (ulønnet)
Styremedlem Sandvik Kaldnes Eiendom AS (ulønnet)
Styreleder Flåtten Holding AS (ulønnet)
Styremedlem Solnes Utvikling AS (ulønnet)",,,,,,"Gnr 27 bnr. 9 og 110 i Stokke kommune (jf. pkt. 9)
Gnr. 34 bnr. 29/40/42/43 i Stokke kommune","Sandvik/ Kaldnes AS
Sandvik Kaldnes Eiendom AS
Flåtten Holding AS
Solnes Utvikling AS",,"Deltok 11.12.2012 på middag og nobelkonsert med DNB
Nor.",
5,Ingunn,Foss,H,,"Lønnet verv som leder av Representantskapet i KLP.
Går ut av dette vervet på Generalforsamlingen i selskapet
i mai 2014.",,,,,,,,,,
40,Jan-Henrik,Fredriksen,FrP,True,,,,,,,,,,,
52,Peter Christian,Frølich,H,,"Medlem, Bergen bystyre (honorert)
Medlem, komite for miljø og byutvikling under Bergen
bystyre (honorert)
Vara, Bergen hjemmetjenester KF, styret. (honorert)
Vara, Kommunenes Sentralforbund, Fylkesmøtet (ikke
honorert)
Vara, Bergen kommunes fond til kunstnerisk utsmykning
av byen, styret. (ikke honorert)
Vara, stiftelsen BiT Teatergarasjen (ikke honorert)",,,"Ulønnet permisjon fra Kluge Advokatfirma, fra stilling
som advokatfullmektig.",,"Frem til juni 2014 er jeg sentralstyremedlem i Unge
Høyre, og sekretariatet yter innimellom bistand til enkel
reisebestilling, etc.",,Aksjer i Anthope AS,,,
138,Torgeir Knag,Fylkesnes,SV,,,,,Avtale Med Teknologirådet om ulønnet permisjon ut perioden fra 1. oktober 2013.,,,,Har en liten aksjepost i selskapet ArcGiraff - et teknologi- og reklameselskap med hovedkontor i Vadsø.,,,
144,Trond,Giske,A,True,,,,,,,,,,,
3,Ingebjørg Amanda,Godskesen,FrP,,,,,,,,,,"Studiereise til Taiwan 11.-16. september 2010. Reise og
opphold betalt av taiwanske myndigheter.",,
11,Sylvi,Graham,H,,"Styremedlem i stiftelsen Av og til (tidl. Alkokutt), ikke
godtgjørelse",,,,,,,,,Sølvskål til 60-årsdagen i 2011 fra Høyres stortingsgruppe,
140,Arild,Grande,A,True,,,,,,,,,,,
97,Trine Skei,Grande,V,,"Leder i Venstre (honorar)
Parlamentarisk leder for Venstres stortingsgruppe (honorar)
Medlem av Helsingforskomiteens råd (ulønnet)","Grande Rådgivning er registrert, men ikke aktivt",,,,,,,"April 2004 - Besøk presidentinnsettelse i Taiwan etter at
Venstres søsterparti vant valget",,
151,Heidi,Greni,Sp,,"Kommunestyre- og formannskapsmedlem i Holtålen
kommune (godtgjørelse)
Vararepresentant til styret for Forolhogna nasjonalpark
(ikke godtgjørelse)",,,Permisjon uten lønn fra Coop Oppdal,,,,,,,
70,Oskar J.,Grimstad,FrP,,"Styreleder Beslag & Ventilasjon AS (ikke godtgjørelse)
Styremedlem Beslag & Ventilasjon Eiendom AS (ikke
godtgjørelse)
Varamedlem styret for Hareid Trafikkterminal (ikke
godtgjørelse)",,,,,,Beslag & Ventilasjon Eiendom AS i Ulstein kommune,"Beslag & Ventilasjon AS
Beslag & Ventilasjon Eiendom AS",,,
60,Ruth,Grung,A,,"FiskeriForum Vest, styreleder, ikke lønnet
Carte Blanche, dansekompani - styremedlem, lønnet
Bergen Bompengeselskap AS- styremedlem, lønnet
Innovasjon Norge Hordaland-styremedlem ut
2013,lønnet
Avdelingsrådet for UNI Rokkansenteret, medlem, lønnet
Anleggsutvalget for Norsk Håndballforbund region Vest,
medlem, ikke lønnet
Representantskapet Kirkens Bymisjon Bergen, ikke lønnet
Programrådet for NRK Hordaland og Sogn og Fjordane vara, lønnet
Folkets Hus AS, lønnet
styret Hordaland Idrettskrets. nestleder",,,Permisjon fra NAV Hordaland,,,,,,,
8,Hans Fredrik,Grøvan,KrF,,"Styremedlem i NLA Høgskolen - lønnet.
Styremedlem i Fjellhaug Internasjonale Høgskole - ikke
lønnet.
Styremedlem i Fjellhaug Bibelskole - ikke lønnet.
Styremedlem i Beit Skandinavia - ikke lønnet.
Styremedlem i Norsk - Israelsk Handelskammer Agder ikke lønnet",,,,,,,,,,
134,Kent,Gudmundsen,H,,,Passiv medeier i Ferieguiden ANS,,,,,,,,,
44,Gunnar,Gundersen,H,,Styreleder Losby Bruk ANS (godtgjørelse),Skogbruk,,,,,"Skogbruk i Åsnes kommune - gnr 18, bnr 1 m.fl.","G.A.G. Konsult AS
Åsnes Næringshage AS
Flisa Mølle og kornsilo AS
Ocean Product Tankers, 1/240 andel","Reise til Taiwan 2.1.-8.1.2011. Invitert av taiwanske
myndigheter som også betalte reisen.",,
84,Tore,Hagebakken,A,True,,,,,,,,,,,
51,Gjermund,Hagesæter,FrP,,Nestleder i Fremskrittspartiets Stortingsgruppe (godtgjørelse),,,,,,,Krikal AS,"7.-10. september 2006 - foredragsholder på seminar for
FNH (Norges Fondsmeglerforbund) i Istanbul. Reise og
opphold betalt av FNH.",,
49,Øyvind,Halleraker,H,,"Styreleder i Bømlo Foto AS (ulønnet)
President i ASECAP, Brüssel (honorar)
Styreleder Sethaugen AS (ulønnet)
Styremedlem Kyststamveien Stavanger-Bergen AS
(ulønnet)
Varamedlem Paladio AS (ulønnet)
Varamedlem Halleraker AS (ulønnet)","Eier av Mekebakken Gaard, skog- og jordbrukseiendom",,,,,"Mekebakken Gaard, næringseiendom, landbruk, Bømlo
kommune
Sethaugen, næringseiendom/landbruk, Bømlo Kommune",Bømlo Foto AS,"Mars 2014.
Gjest hos USNATO, Belgia, Brussel, Brunsum og Papa
airbase (Ungarn)
Reise og opphold delvis dekket.
Mars 2014.
Gjest hos USNAVY / US Embassy, Oslo, Reise til Italia,
Segonilla Airbase/ Harry.S Truman.
Reise og opphold dekket.",,
146,Eva Kristin,Hansen,A,,Styremedlem Midtnorsk Jazzsenter (godtgjørelse),,,,,,,,,,
161,Svein Roald,Hansen,A,,Styremedlem Tredalen Eiendom AS (ulønnet),,,,,,,Tredalen Eiendom AS,,,
101,Rasmus,Hansson,MDG,True,,,,,,,,,,,
2,Svein,Harberg,H,,"Styreleder Stiftelsen Fjordane Utvandrersenter (ikke
godtgjørelse)
Styremedlem i ACTIS (møtegodtgjørelse)",,,,,,,,,,
55,Knut Arild,Hareide,KrF,,"Leder av Kristelig Folkeparti (lønnet)
Parlamentarisk leder (lønnet)
Styremedlem Plan (ulønnet)",,,"Permisjon fra stilling som direktør for lederutvikling i
Schibsted ASA",,,,,"1.- 4. november 2010 - reise til Israel og de palestinske
områdene. Betalt av Kirkens nødhjelp",iPad uten 3G mottatt 30.05.2011 fra Kristent ledernettverk i Stavanger v/Terje Rott.,
104,Stefan,Heggelund,H,True,,,,,,,,,,,
123,Ingrid,Heggø,A,,Styremedlem i Safeclean. lønna verv,,,,,,,,,,
145,Linda C. Hofstad,Helleland,H,,Styremedlem i Norsk Krisesenterforbund (møtegodtgjørelse),,,,,,,,"Deltok på reise til Taiwan 22.-29. februar 2004. Reise og
opphold betalt av taiwanske myndigheter.",,
29,Trond,Helleland,H,,"Styremedlem Stiftelsen Ål folkehøgskole og kurssenter
for døve (møtehonorar)
Parlamentarisk leder i Høyres stortingsgruppe (godtgjørelse)",,,,,,,,,Sølvskål fra Høyre i anledning 50-årsdag 2012,
6,Kari,Henriksen,A,,"Styremedlem i organisasjonen AV-OG-TIL, fra 2014,
juni. Frivillig organisasjon, ulønnet verv.",,,Har permisjon uten lønn fra Sørlandet Sykehus HF,,,,,,"Mottok et armbåndsur merke a.b.art fra OSCE i Geneve,
2. oktober 2014.",
133,Martin,Henriksen,A,,Styremedlem Utøya AS (ulønnet),,,,,,,Polaris Media ASA.,,,
75,Odd,Henriksen,H,,Daglig leder i ANS Henriksengården - vervet er lønnet,,"ROBE Konsulent AS - lønnet
A/L Indre Salten Boligbyggelag juridisk ansvarlig - lønnet","Har permisjon i 4 år som regiondirektør i NHO Nordland
- ulønnet",,,,"10 Aksjer i Saltenposten
1 aksje i AS Fauske Lysverk",,,
50,Per Rune,Henriksen,A,True,,,,,,,,,,,
58,Sigurd,Hille,H,,"Avis Consult AS, styreleder, ikke lønnet
Johakri AS, styreleder, ikke lønnet",,,,,,,"BBS Bulk I KS - eierandel 1,2 %
BBS Bulk II KS - eierandel 6,62 %
BBS Containerfeeder AS - eierandel 2,79 %",,,
169,Line Henriette,Hjemdal,KrF,,Styremedlem Institutt for sjelesorg (ikke godtgjørelse),,,,,,,,,,
98,Heikki Eidsvoll,Holmås,SV,,,,,,,,"Olav Ryes vei 35, 5006 Bergen, delvis utleid",To aksjer i Klassekampen AS,"EUVP tur til Brussel 24.-29. oktober 2004 betalt av EUkommisjonen
Vårkonferanse Energi Norge, kost og losji betalt av
Energi Norge.",,
159,Tom E. B.,Holthe,FrP,,,Eier Bobil og Fritid (konsulentfirma),,,,,,,,,
12,Anniken,Huitfeldt,A,,,,,Permisjon fra stilling som forsker ved forskningsstiftelsen FAFO,,,,,,,
88,Stine Renate,Håheim,A,,,,,,,,,,"Foredrag på konferanse om ""Woman's Participation in
Political Parties - Obstacles, Challlenges and Opportunities for change"" i Beirut. Opphold dekket av International
Alert. Tidspunkt: 4.-6. juni 2010",,
22,Nils Aage,Jegstad,H,,Styremedlem i Kunnskapsbyen Lillestrøm - ulønnet,"42,5 % eieandel i Vestbykua Samdrift DA - passiv eier:
ingen godtgjørelse eller arbeidsinntekt.
Leier jorda på gården Rokker i Vestby som jeg igjen
leier videre til Vestbykua Samdrift DA som dekker leiekostnaden.",,,,,,Aksjer i Gjensidige Forsikring,,,
148,Frank J.,Jenssen,H,,"Jødisk museum Trondheim, styreleder - orgnr 997 172
299 - ulønnet/ingen honorar
Foreningen Korsvikaspillet, styremedlem/nestleder orgnr 992 401 109 - ulønnet/ingen honorar",,,Direktoratet for arbeidstilsynet - ulønnet permisjon 20132017 (stortingsperioden),,,,,,,
164,Irene,Johansen,A,,"Medlem Moss bystyre (møtegodtgjørelse)
Styreleder i Det Norske Blåseensemble (godtgjørelse)
Nestleder i Europabevegelsen (ingen godtgjørelse)",,,Ulønnet permisjon fra stilling i Jernbaneverket,,,,,,,
86,Morten Ørsal,Johansen,FrP,,,"Småbruker. Hest, geit, høns, kaniner, påfugler og hunder.",,,,,,,,,
35,Kristin Ørmen,Johnsen,H,,"Styremedlem i Strømsgodset toppfotball. Vervet er ulønnet, får to sesongkort til hjemmekampene.",,,Permisjon fra Høgskolen i Buskerud. Ingen lønnsutbetalinger fra tidligere arbeidsgiver. Pensjon fra Statens Pensjonskasse.,"Avtale om gjeninntreden i Høgskolen i Buskerud og
Vestfold i lederstilling på nivå en eller to, ikke spesifisert
dette yteligere.",,,,,,
45,Tor André,Johnsen,FrP,,"Medlem av Hedmark fylkesting (godtgjørelse). Vara til
Hedmark Trafikk (møtegodtgjørelse).
Vara i Distriktsprogramrådet for NRK Hedmark og Oppland (møtegodtgjørelse).",,,,,,,,,,
81,Kjell-Idar,Juvik,A,,"Kommunstyrerepresentant Hemnes kommune, møtegodtgjørelse
Landsstyremedlem for Nordland i Utmarkskommunenes
sammenslutning (USS), møtegodtgjørelse
Styreremedlem Kommunekraft AS, møtegodtgjørelse
Sekretær i Hemnes Dykkeklubb, ulønnet
Komiteleder Hemnes Båt & Fjordfestival, ulønnet",,,,,,,,,,
112,Arve,Kambe,H,,,"Eier andel av tre boligprosjekter i Karmøy, Ålesund og
Sula. Alle boligprosjektene er regulert, men ikke utbygget ennå.",,"Permisjon fra stilling som markedsansvarlig i Trygge
Barnehager AS
Bonusavtale basert på byggestarter av vedtatte barnehager i fremtiden.",,,,,,,
100,Mudassar,Kapur,H,,"Medlem av rådet i SOS-Barnebyer Norge, ingen godtgjøring",,,Permisjon fra SOS-Barnebyer Norge,,,,,,,
102,Mazyar,Keshvari,FrP,,"Bystyrerepresentant i Oslo bystyre, mottar godgjørelse.",,,,,,,,,,
89,Ketil,Kjenseth,V,,"Kommunestyremedlem i Gjøvik (godtgjøring pr. møte)
Leder i Gjøvik Frivilligsentral (årlig honorar)
Leder av avviklingsstyret for Stiftelsen Øverby Helsesportsenter (ulønnet)
Styremedlem i Øvre Bråstad Velforening (ulønnet)",,,"Permisjon uten lønn eller andre godtgjørelse fra stilling i
Norsk Vann fram til 1. januar 2018.",,,,,,,
139,Ingvild,Kjerkol,A,True,,,,,,,,,,,
13,Kari Kjønaas,Kjos,FrP,,Medlem kommunestyret i Lørenskog (godtgjørelse),,Medlem av Stortingets Billighetserstatningsutvalg (godtgjørelse),,,,,,"Deltok på reise til Filippinene 3. - 11. nov. 2007. Reise
og opphold betalt av European Parliamentary Forum on
population and development (EPF).",,
72,Jenny,Klinge,Sp,,Leiar i forstandarskapet Surnadal Sparebank(godtgjering),,,,,,,,,,
136,Tove Karoline,Knutsen,A,,,"Enkeltmannsfortaket ""Arctica musikkproduksjon"" for
ivaretakelse av mitt kunstneriske engasjement (enkeltkonserter, komponistoppdrag m.m., som vil være relativt
begrenset i stortingsperioden)
Rettighetsorganisasjonene TONO og GRAMO yter honorar etter faste satser for rettighetsbelagt materiale/åndsverk",,,,,,,,,
28,Martin,Kolberg,A,True,,,,,,,,,,,
135,Øyvind,Korsberg,FrP,,,,,,,,,12000 aksjer i ELTEK,,,
166,Stein Erik,Lauvås,A,,"Styremedlem Østfold Energi ( Styregodtgjøring gis )
Styremedlem Energiforum Østfold ( Ulønnet )
Varamedlem Styret Momarken toto/ Momarken travbane
( Ulønnet )",,Se punkt 2,Ulønnet Permisjon fra Handel og Kontor Norge,,,,,,,
163,Ulf,Leirstein,FrP,,"Varamedlem Moss bystyre (godtgjørelse pr. møte)
Styreleder Storesand feriekoloni (årsgodtgjørelse)",,,,,,,A/S Momarken Travbane (1 aksje),,,
117,Hege Haukeland,Liadal,A,,"MS Utsira, styreleder (godtgjørelse)
Troms Fylkestrafikk, styremedlem (godtgjørelse)",,,,,,,,Reise til Filmfestivalen i Emden hvor Gassco dekket hotellopphold. Dato for reise: 8.-9.5.2014.,,
18,Hans Andreas,Limi,FrP,,"Medlem kommunestyret i Bærum med møtegodtgjørelse.
Styremedlem CAN i Altea, rehabiliteringssenter som eies
av Bærum
kommune. Styrehonorar.
Styremedlem og daglig leder i Limi & Limi AS, eget
konsulentselskap.","Limi & Limi AS, konsulentselskap innen eiendomsutvikling og detaljhandel. Største oppdragsgiver i 2012 og
2013 har vært ICA Eiendom Norge AS. Selskapet legges
passivt fom regnskapsåret 2014.",,,,,,Limi & Limi AS,,,
79,Anna,Ljunggren,A,,"Jurymedlem i El Returs miljøpris fra 2009 (honorar)
Styremedlem Fredrikke Tønder-Olsens legat (ulønnet)
Styremedlem Petter Dass Stipendiefond (ulønnet)
Styremedlem i Nordisk informasjonskontor i NordNorge (ulønnet)",,,,,,,,,,
107,Heidi Nordby,Lunde,H,,,"Har registrert enkeltpersonsforetak, med omsetning på
underkant av 100 000 i året, men uten oppdrag fra samme oppdragsgiver på mer enn 50 000 kr.",,,,,,,,,
36,Per Olaf,Lundteigen,Sp,,Styremedlem Vestfossen Innkjøpslag AS (mottas godtgjørelse),Gardbruker,,,,,,Vestfossen Innkjøpslag AS,,,
61,Audun,Lysbakken,SV,,Leder i Sosialistisk Venstreparti (ulønnet),,,,,,,,,"Gavekort på middag for to - fra SVs partikontor og stortingsgruppe 12.6.13
Litografi ""Agitatoren"" av Steinar Hansen - fra LO SørTrøndelag på Tranmælkonferansen 15.6.13",
125,Bjørn,Lødemel,H,,"Styreleiar Lødemel Bok og Interiør A/S (ikkje honorar
per dags dato)
Leiar Hornindal Næringslag (uløna)",,,,,,"Eier del av Nordby, som er et næringsbygg med forretninger og leiligheter. Ligger i Hornindal kommune.",Lødemel Bok og Interiør A/S,,,
157,Kårstein Eidem,Løvaas,H,,,"Registrert enkeltmannsforetak ""Kårstein Eidem Løvaas"".
Rådgivning innenfor media/krisehåndtering og kommunikasjonsstrategi. Ingen virksomhet pr dd.",,"Permisjon fra P4 Radio Hele Norge AS så lenge jeg har
møteplikt i Stortinget.",,,,,,,
158,Sonja,Mandt,A,,,,,,,,,,,"Boksett fra Sykepleierforbundet mottatt som medlem i
helse- og omsorgskomiteen i 2005-2009.",
99,Marianne,Marthinsen,A,,,,"Fast spaltist i Klassekampen, lønnet",,,,,,,,
16,Bente Stein,Mathisen,H,,"Medlem av fylkestinget, Akershus fylkeskommune,
godtgjørelse
Medlem av generalforsamlingen i Sparebankstiftelsen
DnB NOR, godtgjørelse
Medlem av styret for Henie Onstad Kunstsenter, godtgjørelse",,,,,,,,,,
109,Siri A.,Meling,H,,"Leder av overtakstnemd Eigersund kommune (møtegodtgjørelse)
Styremedlem i stiftelsen Haugesundskonferansen (ulønnet)
Styremedlem i stiftelsen Futura (ulønnet)
Varamedlem i styret til Egersund Chocholadefabrikk AS
(ulønnet)","Meling Consultants, enkeltmannsforetak (ingen aktivitet
de siste 8-10 år)",,Ulønnet permisjon fra stilling som regiondirektør i Fiskeridirektoratet Region Sør,,,,,,,
33,Torgeir,Micaelsen,A,,,"Styreformann i enkeltmannsforetaket Micaelsen Musikk,
Teater og Tekniske produksjoner",,,,,,,,,
7,Åse,Michaelsen,FrP,,,,,Permisjon fra SGS (sas),,,,,,,
168,Eirik,Milde,H,,"Styremedlem Halden Kanalselskap, ikke lønnet
Fast medlem fylkestinget i Østfold, møtegodtgjørelse
Fast medlem i kommunestyret Halden, møtegodtgjørelse",,,Permisjon fra Sarpsborg kommune gjeldende fra 2007,,,,,,,
15,Sverre,Myrli,A,,"Styremedlem Akershus fylkeskommunale pensjonskasse
(fast årlig godtgjørelse og godtgjørelse pr møte samt ett
gratis avisabonnement).
Rådsmedlem i Norsk-Tysk Selskap (ingen godtgjøring).
Rådsmedlem i Nordmanns-Forbundet (ingen godtgjøring).
Styreleder i Den norsk-tyske Willy Brandt-stiftelsen
(ingen godtgjøring).",,,Permisjon uten lønn fra stilling som konsulent i Forsvarsbygg,,,,,"Generalforsamling i Atlantic Treaty Association (ATA),
Tallin, Estland september 2005. Opphold betalt av Den
norske Atlanterhavskomité.
Konferanse i Beograd 16-18 juni 2006. Hotellopphold
betalt av Atlantic Association of Young Political Leaders
(AAYPL).","Teppe mottatt som gave fra nasjonalforsamlingen i Aserbajdsjan på reise i regi av NATO's parlamentarikerforsamling i oktober 2006.
Deltok i paneldebatt på konferanse i regi av Norges Lastebileier-Forbund på Storefjell Resort Hotel 8.-10. november 2013. Opphold for meg og familien ble betalt av
arrangør.",
